# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
1400000	0.3138619528462447	2.5006684373477564E-4	0.25388365965060383	0.5942360922806156	0.5760888369920184	0.24896430523146001	1.51215394520176	1.2376864638583045	0.8578195694829697	2.784863971654513	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
1500000	0.5249038270142155	0.35563714392070794	0.22383198133697152	0.8421064160314559	0.4695899486009435	0.5864979085712323	1.848120776443831	0.10143521909613382	0.5132788323056131	1.918490749736799	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1600000	0.31047880206816664	0.5281193455280454	0.35245318678661325	0.5194766916896821	0.4330513185800053	0.45386059033061305	1.6496561262864757	1.9021921757960256	0.6123057088457182	1.4589441851834108	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1700000	0.504272408577699	0.6243367923512315	0.5606259979972342	0.7271953760604787	0.3663565618101307	1.0861376823588287	1.8252839259270635	0.17605474550071146	1.114505578870682	1.8794316352561689	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
1800000	0.42534854774530073	0.47360410435510014	0.031126029141682554	0.305640617367422	0.2660974584871696	0.346182299416524	0.6927499575857435	0.4866295224435215	0.24014702733544963	1.1686523017186794	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
1900000	0.9033359546908974	0.5517615874037021	0.6470590131549909	1.0428809856646117	0.941538935548213	0.8839274071912657	2.2708691204307385	0.2511516846686013	0.47079419975753795	1.4361311718593945	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	8.0
2000000	0.2646940948209178	0.6126681622876302	0.2753164520681338	1.1156221190799074	1.0080682380061903	0.0826774787326537	0.9867250640373999	1.3015697035986127	0.5847900477080322	1.7129030127988931	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
2100000	0.6383349712683831	2.4371273666761093	0.9011649926187436	1.7027718400032166	2.4766184235994557	1.874960016273731	3.5334881896457784	2.30126942131406	2.34601452536066	3.5747102093910157	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
2200000	1.1288344453757464	0.013677952870981553	0.8628621196240688	0.9286606265965422	0.8790792117545813	0.39065039773607446	1.034095927985249	0.19656207341249474	0.777056629799115	2.1209675432224584	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
2300000	0.447372178625332	0.025697686521645845	0.10305810997020348	0.8083031906519399	0.28720433621298025	1.5561091343097808	1.1506318390049879	0.5597919391275397	0.8945009215714467	1.3943302052876443	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
